SP1865RS        ,NORTH GLASGOW HOUSING ASSOCIATION LIMITED                                                                               ,             3939284,                NULL,         34,0     ,50 REIDHOUSE STREET                                                                                 ,GLASGOW                                                                                             ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G21 4LS 
SP1860RS        ,QUEEN'S CROSS HOUSING ASSOCIATION LIMITED                                                                               ,            18270298,                NULL,        214,0     ,45 Firhill Road                                                                                     ,Glasgow                                                                                             ,Lanarkshire                                                                                         ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G20 7BE 
SP1823RS        ,DUNEDIN CANMORE HOUSING LIMITED                                                                                         ,            14847000,             2822000,        195,0     ,8 New Mart Road                                                                                     ,Edinburgh                                                                                           ,Midlothian                                                                                          ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH14 1RL
SP1629RS        ,CASTLE ROCK HOUSING ASSOCIATION LIMITED                                                                                 ,             5704989,                NULL,        163,0     ,1 HAY AVENUE                                                                                        ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH16 4RW
SP2524RS        ,LINSTONE HOUSING ASSOCIATION LIMITED                                                                                    ,             5775944,                NULL,         44,0     ,32 BURNBRAE AVENUE                                                                                  ,LINWOOD                                                                                             ,RENFREWSHIRE                                                                                        ,NULL                                                                                                ,NULL                                                                                                ,PAISLEY             ,RENFREWSHIRE        ,PA3 3DD 
SP2522RS        ,GLASGOW TAXIS LIMITED                                                                                                   ,             2848423,                NULL,       NULL,0     ,21 LAWNMOOR ROAD                                                                                    ,GLASGOW                                                                                             ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G5 0UE  
SP2476RS        ,FIFE HOUSING ASSOCIATION LIMITED                                                                                        ,            10096569,                NULL,         64,0     ,7 PITREAVIE COURT                                                                                   ,PITREAVIE BUSINESS PARK                                                                             ,DUNFERMLINE                                                                                         ,FIFE                                                                                                ,NULL                                                                                                ,DUNFERMLINE         ,FIFE                ,KY11 8UU
SP2471RS        ,ALMOND HOUSING ASSOCIATION LIMITED                                                                                      ,             9590847,                NULL,         37,0     ,SHIEL HOUSE                                                                                         ,CRAIGSHILL                                                                                          ,LIVINGSTON                                                                                          ,NULL                                                                                                ,NULL                                                                                                ,LIVINGSTON          ,WEST LOTHIAN        ,NULL    
SP02388R        ,TENANTS FIRST HOUSING CO-OPERATIVE LIMITED                                                                              ,             5501000,                NULL,       NULL,0     ,23 ALBERT STREET                                                                                    ,ABERDEEN                                                                                            ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,ABERDEEN            ,ABERDEENSHIRE       ,AB23 1XX
SP02343R        ,CALEDONIA HOUSING ASSOCIATION LIMITED                                                                                   ,             5207254,                NULL,         52,0     ,5 South St Johns Place                                                                              ,Perth                                                                                               ,Perthshire                                                                                          ,NULL                                                                                                ,NULL                                                                                                ,PERTH               ,PERTHSHIRE          ,PH1 5SU 
SP02327R        ,CUBE HOUSING ASSOCIATIONLIMITED                                                                                         ,            11844334,             4853121,         89,0     ,6-8 BLYTHSWOOD COURT                                                                                ,CADOGAN SQUARE                                                                                      ,GLASGOW                                                                                             ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G2 7PH  
SP02289R        ,LOCHABER HOUSING ASSOCIATION LIMITED                                                                                    ,             2453295,              546240,         14,0     ,30 FASSIFERN ROAD                                                                                   ,FORT WILLIAM                                                                                        ,INVERNESS SHIRE                                                                                     ,NULL                                                                                                ,NULL                                                                                                ,FORT WILLIAM        ,INVERNESSSHIRE      ,PH33 6XQ
SO304223        ,MCEWAN FRASER LEGAL SERVICES LLP                                                                                        ,             5650592,                NULL,         76,0     ,9 AINSLIE PLACE                                                                                     ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH3 6AT 
SO303932        ,ABINGWORTH GENERAL PARTNER VI LLP                                                                                       ,             4683266,                NULL,          0,7484  ,50 LOTHIAN ROAD                                                                                     ,FESTIVAL SQUARE                                                                                     ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH3 9WJ 
