06380200        ,ALTODIGITAL NETWORKS LIMITED                                                                                            ,            50498997,            23408017,        370,7484  ,SUMMIT HOUSE CHERRYCOURT WAY                                                                        ,LEIGHTON BUZZARD                                                                                    ,BEDFORDSHIRE                                                                                        ,NULL                                                                                                ,NULL                                                                                                ,LEIGHTON BUZZARD    ,BEDFORDSHIRE        ,LU7 4UH 
06380198        ,RUSHTON HALL LIMITED                                                                                                    ,             3314786,             1289442,         98,5512  ,ESTATE OFFICE RUSHTON HALL                                                                          ,RUSHTON                                                                                             ,NORTHAMPTONSHIRE                                                                                    ,NULL                                                                                                ,NULL                                                                                                ,KETTERING           ,NORTHAMPTONSHIRE    ,NN14 1RR
06380181        ,SNOW SOFTWARE LIMITED                                                                                                   ,             7870629,             4159404,         17,7260  ,VENTURE HOUSE 2 ARLINGTON SQUA                                                                      ,DOWNSHIRE WAY                                                                                       ,BRACKNELL                                                                                           ,BERKSHIRE                                                                                           ,NULL                                                                                                ,BRACKNELL           ,BERKSHIRE           ,RG12 1WA
06379942        ,THE E-FACTOR ENTERPRISE (NEL) LIMITED                                                                                   ,             2714867,              831991,         28,7484  ,THE ENTERPRISE VILLAGE                                                                              ,PRINCE ALBERT GARDENS                                                                               ,GRIMSBY                                                                                             ,NORTH EAST LINCOLNSHIRE                                                                             ,NULL                                                                                                ,GRIMSBY             ,SOUTH HUMBERSIDE    ,DN31    
06379246        ,TRIANGLE EXPORT LIMITED                                                                                                 ,             3510548,              477584,       NULL,5170  ,1 WYNNS VENTURE CENTRE                                                                              ,BROAD STREET                                                                                        ,CANNOCK                                                                                             ,STAFFORDSHIRE                                                                                       ,NULL                                                                                                ,CANNOCK             ,STAFFORDSHIRE       ,WS11 0XL
06378853        ,TS SHUTTERS LIMITED                                                                                                     ,             4644927,              275872,         67,3663  ,7 WATERBERRY DRIVE                                                                                  ,WATERLOOVILLE                                                                                       ,HAMPSHIRE                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,WATERLOOVILLE       ,HAMPSHIRE           ,PO7 7UW 
06378666        ,AIRSOUND TECHNOLOGIES LIMITED                                                                                           ,             4523462,             1513818,       NULL,3162  ,CHAPEL HOUSE WESTMEAD DRIVE                                                                         ,WESTLEA                                                                                             ,SWINDON                                                                                             ,NULL                                                                                                ,NULL                                                                                                ,SWINDON             ,WILTSHIRE           ,SN5 7UN 
06379193        ,DEBM INVESTMENTS LIMITED                                                                                                ,            19404804,             2338790,         18,7484  ,31 CENTRAL MARKETS                                                                                  ,WEST MARKET BUILDING                                                                                ,SMITHFIELD LONDON                                                                                   ,NULL                                                                                                ,NULL                                                                                                ,LONDON              ,NULL                ,EC1A 9PS
06378991        ,DELTA GLOBAL SOURCE (UK) LIMITED                                                                                        ,             9731226,             2217250,         24,7482  ,UNIT H                                                                                              ,WHITEACRES  CAMBRIDGE ROAD                                                                          ,LEICESTER                                                                                           ,LEICESTERSHIRE                                                                                      ,NULL                                                                                                ,LEICESTER           ,LEICESTERSHIRE      ,NULL    
06379381        ,GLOBAL PUBLISHING SOLUTIONS LTD                                                                                         ,             3431921,             2763677,       NULL,7260  ,DEVONSHIRE HOUSE, 60                                                                                ,GOSWELL ROAD                                                                                        ,LONDON                                                                                              ,NULL                                                                                                ,NULL                                                                                                ,LONDON              ,NULL                ,EC1M 7AD
06379368        ,PREMIER FRUITS (IMPORTS) LTD                                                                                            ,             2692743,              234686,       NULL,5131  ,WESSEX HOUSE                                                                                        ,UPPER MARKET STREET                                                                                 ,EASTLEIGH                                                                                           ,HAMPSHIRE                                                                                           ,NULL                                                                                                ,EASTLEIGH           ,HAMPSHIRE           ,SO50 9FD
06378895        ,PCTA HEALTHCARE LIMITED                                                                                                 ,            48993524,            13659497,        285,5231  ,THE CO-OPERATIVE PHARMACY                                                                           ,SANDBROOK PARK  SANDBROOK WAY                                                                       ,ROCHDALE                                                                                            ,LANCASHIRE                                                                                          ,NULL                                                                                                ,ROCHDALE            ,LANCASHIRE          ,OL11 1RY
06378490        ,ICD ELECTRICAL LIMITED                                                                                                  ,             2531838,             1083196,       NULL,4531  ,WATERGATE BUILDING                                                                                  ,NEW CRANE STREET                                                                                    ,CHESTER                                                                                             ,NULL                                                                                                ,NULL                                                                                                ,CHESTER             ,CHESHIRE            ,CH1 4JE 
06378432        ,06378432 LIMITED                                                                                                        ,             6219700,             1354994,       NULL,5147  ,SOMERSET HOUSE TEMPLE STREET                                                                        ,BIRMINGHAM                                                                                          ,WEST MIDLANDS                                                                                       ,NULL                                                                                                ,NULL                                                                                                ,BIRMINGHAM          ,NULL                ,B2 5DJ  
07060838        ,FDL RAIL AND SPECIAL PROJECTS LIMITED                                                                                   ,             9149216,                NULL,       NULL,4525  ,FOUNDATION HOUSE CLARENDON ROA                                                                      ,WALLINGTON                                                                                          ,SURREY                                                                                              ,NULL                                                                                                ,NULL                                                                                                ,WALLINGTON          ,SURREY              ,SM6 8QX 
07060396        ,NAFT TRADING AND TECHNOLOGY COMPANY LIMITED                                                                             ,           564000000,           222000000,          4,7484  ,788/790 FINCHLEY ROAD                                                                               ,TEMPLE FORTUNE                                                                                      ,LONDON                                                                                              ,NULL                                                                                                ,NULL                                                                                                ,LONDON              ,NULL                ,NW11 7TJ
